#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3932, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3151 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.9795 million (based on MAC)
#                       Freestream Temp: 267.55 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"                                              

VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS15_KS_1p0668mm_SINGLE_LAYER"
5.32472E-01 9.14400E-01 -2.72356E-02
5.32468E-01 9.14400E-01 -2.72915E-02
5.32465E-01 9.14400E-01 -2.73474E-02
5.32461E-01 9.14400E-01 -2.74032E-02
5.32457E-01 9.14400E-01 -2.74591E-02
5.32453E-01 9.14400E-01 -2.75150E-02
5.32449E-01 9.14400E-01 -2.75709E-02
5.32445E-01 9.14400E-01 -2.76267E-02
5.32441E-01 9.14400E-01 -2.76826E-02
5.32437E-01 9.14400E-01 -2.77385E-02
5.32433E-01 9.14400E-01 -2.77943E-02
5.32429E-01 9.14400E-01 -2.78502E-02
5.32425E-01 9.14400E-01 -2.79061E-02
5.32422E-01 9.14400E-01 -2.79619E-02
5.32418E-01 9.14400E-01 -2.80178E-02
5.32414E-01 9.14400E-01 -2.80737E-02
5.32410E-01 9.14400E-01 -2.81296E-02
5.32406E-01 9.14400E-01 -2.81854E-02
5.32402E-01 9.14400E-01 -2.82413E-02
5.32398E-01 9.14400E-01 -2.82972E-02
5.32394E-01 9.14400E-01 -2.83530E-02
5.32390E-01 9.14400E-01 -2.84089E-02
5.32386E-01 9.14400E-01 -2.84648E-02
5.32382E-01 9.14400E-01 -2.85207E-02
5.32379E-01 9.14400E-01 -2.85765E-02
5.32199E-01 9.14400E-01 -2.85890E-02
5.32019E-01 9.14400E-01 -2.86016E-02
5.31731E-01 9.14400E-01 -2.86215E-02
5.31443E-01 9.14400E-01 -2.86415E-02
5.30983E-01 9.14400E-01 -2.86734E-02
5.30522E-01 9.14400E-01 -2.87053E-02
5.29785E-01 9.14400E-01 -2.87561E-02
5.29048E-01 9.14400E-01 -2.88069E-02
5.27869E-01 9.14400E-01 -2.88873E-02
5.26690E-01 9.14400E-01 -2.89678E-02
5.24803E-01 9.14400E-01 -2.90948E-02
5.22916E-01 9.14400E-01 -2.92219E-02
5.21037E-01 9.14400E-01 -2.93463E-02
5.19157E-01 9.14400E-01 -2.94706E-02
5.17278E-01 9.14400E-01 -2.95928E-02
5.15398E-01 9.14400E-01 -2.97150E-02
5.13518E-01 9.14400E-01 -2.98352E-02
5.11638E-01 9.14400E-01 -2.99553E-02
5.09758E-01 9.14400E-01 -3.00733E-02
5.07878E-01 9.14400E-01 -3.01913E-02
5.05998E-01 9.14400E-01 -3.03073E-02
5.04118E-01 9.14400E-01 -3.04233E-02
5.02238E-01 9.14400E-01 -3.05373E-02
5.00357E-01 9.14400E-01 -3.06513E-02
4.98477E-01 9.14400E-01 -3.07633E-02
4.96597E-01 9.14400E-01 -3.08753E-02
4.94716E-01 9.14400E-01 -3.09853E-02
4.92836E-01 9.14400E-01 -3.10953E-02
4.90955E-01 9.14400E-01 -3.12033E-02
4.89074E-01 9.14400E-01 -3.13113E-02
4.87194E-01 9.14400E-01 -3.14174E-02
4.85313E-01 9.14400E-01 -3.15235E-02
4.83432E-01 9.14400E-01 -3.16277E-02
4.81551E-01 9.14400E-01 -3.17319E-02
4.79670E-01 9.14400E-01 -3.18341E-02
4.77790E-01 9.14400E-01 -3.19364E-02
4.75909E-01 9.14400E-01 -3.20368E-02
4.74027E-01 9.14400E-01 -3.21373E-02
4.72146E-01 9.14400E-01 -3.22358E-02
4.70265E-01 9.14400E-01 -3.23344E-02
4.68384E-01 9.14400E-01 -3.24311E-02
4.66503E-01 9.14400E-01 -3.25278E-02
4.64622E-01 9.14400E-01 -3.26227E-02
4.62740E-01 9.14400E-01 -3.27176E-02
4.60859E-01 9.14400E-01 -3.28106E-02
4.58977E-01 9.14400E-01 -3.29037E-02
4.57096E-01 9.14400E-01 -3.29949E-02
4.55214E-01 9.14400E-01 -3.30862E-02
4.53333E-01 9.14400E-01 -3.31757E-02
4.51451E-01 9.14400E-01 -3.32651E-02
4.49570E-01 9.14400E-01 -3.33528E-02
4.47688E-01 9.14400E-01 -3.34406E-02
4.45806E-01 9.14400E-01 -3.35265E-02
4.43925E-01 9.14400E-01 -3.36123E-02
4.42043E-01 9.14400E-01 -3.36965E-02
4.40161E-01 9.14400E-01 -3.37807E-02
4.38279E-01 9.14400E-01 -3.38631E-02
4.36397E-01 9.14400E-01 -3.39455E-02
4.34515E-01 9.14400E-01 -3.40261E-02
4.32633E-01 9.14400E-01 -3.41068E-02
4.30751E-01 9.14400E-01 -3.41857E-02
4.28869E-01 9.14400E-01 -3.42646E-02
4.26987E-01 9.14400E-01 -3.43418E-02
4.25105E-01 9.14400E-01 -3.44190E-02
4.23223E-01 9.14400E-01 -3.44944E-02
4.21340E-01 9.14400E-01 -3.45698E-02
4.19458E-01 9.14400E-01 -3.46435E-02
4.17576E-01 9.14400E-01 -3.47172E-02
4.15694E-01 9.14400E-01 -3.47892E-02
4.13811E-01 9.14400E-01 -3.48611E-02
4.11929E-01 9.14400E-01 -3.49314E-02
4.10047E-01 9.14400E-01 -3.50016E-02
4.08164E-01 9.14400E-01 -3.50701E-02
4.06282E-01 9.14400E-01 -3.51386E-02
4.04399E-01 9.14400E-01 -3.52054E-02
4.02517E-01 9.14400E-01 -3.52721E-02
4.00634E-01 9.14400E-01 -3.53371E-02
3.98751E-01 9.14400E-01 -3.54021E-02
3.96869E-01 9.14400E-01 -3.54654E-02
3.94986E-01 9.14400E-01 -3.55286E-02
3.93103E-01 9.14400E-01 -3.55901E-02
3.91221E-01 9.14400E-01 -3.56516E-02
3.89338E-01 9.14400E-01 -3.57113E-02
3.87455E-01 9.14400E-01 -3.57710E-02
3.85572E-01 9.14400E-01 -3.58290E-02
3.83690E-01 9.14400E-01 -3.58869E-02
3.81807E-01 9.14400E-01 -3.59431E-02
3.79924E-01 9.14400E-01 -3.59992E-02
3.78041E-01 9.14400E-01 -3.60536E-02
3.76158E-01 9.14400E-01 -3.61080E-02
3.74275E-01 9.14400E-01 -3.61605E-02
3.72392E-01 9.14400E-01 -3.62131E-02
3.70509E-01 9.14400E-01 -3.62638E-02
3.68626E-01 9.14400E-01 -3.63145E-02
3.66743E-01 9.14400E-01 -3.63634E-02
3.64860E-01 9.14400E-01 -3.64123E-02
3.62977E-01 9.14400E-01 -3.64593E-02
3.61094E-01 9.14400E-01 -3.65063E-02
3.59211E-01 9.14400E-01 -3.65514E-02
3.57328E-01 9.14400E-01 -3.65965E-02
3.55444E-01 9.14400E-01 -3.66398E-02
3.53561E-01 9.14400E-01 -3.66830E-02
3.51678E-01 9.14400E-01 -3.67244E-02
3.49795E-01 9.14400E-01 -3.67657E-02
3.47911E-01 9.14400E-01 -3.68051E-02
3.46028E-01 9.14400E-01 -3.68445E-02
3.44145E-01 9.14400E-01 -3.68819E-02
3.42261E-01 9.14400E-01 -3.69193E-02
3.40378E-01 9.14400E-01 -3.69547E-02
3.38495E-01 9.14400E-01 -3.69901E-02
3.36611E-01 9.14400E-01 -3.70235E-02
3.34728E-01 9.14400E-01 -3.70569E-02
3.32844E-01 9.14400E-01 -3.70883E-02
3.30961E-01 9.14400E-01 -3.71196E-02
3.29078E-01 9.14400E-01 -3.71489E-02
3.27194E-01 9.14400E-01 -3.71781E-02
3.25311E-01 9.14400E-01 -3.72053E-02
3.23427E-01 9.14400E-01 -3.72325E-02
3.21544E-01 9.14400E-01 -3.72575E-02
3.19660E-01 9.14400E-01 -3.72825E-02
3.17776E-01 9.14400E-01 -3.73053E-02
3.15893E-01 9.14400E-01 -3.73281E-02
3.14009E-01 9.14400E-01 -3.73488E-02
3.12126E-01 9.14400E-01 -3.73694E-02
3.10242E-01 9.14400E-01 -3.73878E-02
3.08358E-01 9.14400E-01 -3.74061E-02
3.06475E-01 9.14400E-01 -3.74222E-02
3.04591E-01 9.14400E-01 -3.74382E-02
3.02708E-01 9.14400E-01 -3.74520E-02
3.00824E-01 9.14400E-01 -3.74657E-02
2.98940E-01 9.14400E-01 -3.74771E-02
2.97057E-01 9.14400E-01 -3.74884E-02
2.95173E-01 9.14400E-01 -3.74974E-02
2.93289E-01 9.14400E-01 -3.75063E-02
2.91406E-01 9.14400E-01 -3.75128E-02
2.89522E-01 9.14400E-01 -3.75193E-02
2.87638E-01 9.14400E-01 -3.75232E-02
2.85754E-01 9.14400E-01 -3.75271E-02
2.83871E-01 9.14400E-01 -3.75285E-02
2.81987E-01 9.14400E-01 -3.75299E-02
2.80103E-01 9.14400E-01 -3.75286E-02
2.78220E-01 9.14400E-01 -3.75274E-02
2.76336E-01 9.14400E-01 -3.75234E-02
2.74452E-01 9.14400E-01 -3.75195E-02
2.72569E-01 9.14400E-01 -3.75129E-02
2.70685E-01 9.14400E-01 -3.75062E-02
2.68801E-01 9.14400E-01 -3.74968E-02
2.66918E-01 9.14400E-01 -3.74873E-02
2.65034E-01 9.14400E-01 -3.74750E-02
2.63150E-01 9.14400E-01 -3.74627E-02
2.61267E-01 9.14400E-01 -3.74475E-02
2.59383E-01 9.14400E-01 -3.74323E-02
2.57499E-01 9.14400E-01 -3.74141E-02
2.55616E-01 9.14400E-01 -3.73958E-02
2.53732E-01 9.14400E-01 -3.73746E-02
2.51849E-01 9.14400E-01 -3.73534E-02
2.49965E-01 9.14400E-01 -3.73290E-02
2.48082E-01 9.14400E-01 -3.73046E-02
2.46198E-01 9.14400E-01 -3.72771E-02
2.44315E-01 9.14400E-01 -3.72495E-02
2.42431E-01 9.14400E-01 -3.72187E-02
2.40548E-01 9.14400E-01 -3.71879E-02
2.38664E-01 9.14400E-01 -3.71537E-02
2.36781E-01 9.14400E-01 -3.71195E-02
2.34898E-01 9.14400E-01 -3.70820E-02
2.33014E-01 9.14400E-01 -3.70444E-02
2.31131E-01 9.14400E-01 -3.70033E-02
2.29248E-01 9.14400E-01 -3.69621E-02
2.27365E-01 9.14400E-01 -3.69175E-02
2.25481E-01 9.14400E-01 -3.68728E-02
2.23598E-01 9.14400E-01 -3.68244E-02
2.21715E-01 9.14400E-01 -3.67761E-02
2.19832E-01 9.14400E-01 -3.67239E-02
2.17949E-01 9.14400E-01 -3.66717E-02
2.16066E-01 9.14400E-01 -3.66157E-02
2.14184E-01 9.14400E-01 -3.65597E-02
2.12301E-01 9.14400E-01 -3.64998E-02
2.10418E-01 9.14400E-01 -3.64398E-02
2.08535E-01 9.14400E-01 -3.63757E-02
2.06653E-01 9.14400E-01 -3.63116E-02
2.04770E-01 9.14400E-01 -3.62434E-02
2.02888E-01 9.14400E-01 -3.61752E-02
2.01006E-01 9.14400E-01 -3.61027E-02
1.99123E-01 9.14400E-01 -3.60302E-02
1.97241E-01 9.14400E-01 -3.59533E-02
1.95359E-01 9.14400E-01 -3.58763E-02
1.93477E-01 9.14400E-01 -3.57949E-02
1.91595E-01 9.14400E-01 -3.57135E-02
1.89714E-01 9.14400E-01 -3.56274E-02
1.87832E-01 9.14400E-01 -3.55413E-02
1.85950E-01 9.14400E-01 -3.54505E-02
1.84069E-01 9.14400E-01 -3.53597E-02
1.82187E-01 9.14400E-01 -3.52639E-02
1.80306E-01 9.14400E-01 -3.51681E-02
1.78425E-01 9.14400E-01 -3.50673E-02
1.76544E-01 9.14400E-01 -3.49666E-02
1.74664E-01 9.14400E-01 -3.48606E-02
1.72783E-01 9.14400E-01 -3.47546E-02
1.70902E-01 9.14400E-01 -3.46433E-02
1.69022E-01 9.14400E-01 -3.45321E-02
1.67142E-01 9.14400E-01 -3.44153E-02
1.65262E-01 9.14400E-01 -3.42985E-02
1.63382E-01 9.14400E-01 -3.41764E-02
1.61502E-01 9.14400E-01 -3.40542E-02
1.59623E-01 9.14400E-01 -3.39292E-02
1.57743E-01 9.14400E-01 -3.38043E-02
1.55864E-01 9.14400E-01 -3.36755E-02
1.53985E-01 9.14400E-01 -3.35467E-02
1.52106E-01 9.14400E-01 -3.34123E-02
1.50227E-01 9.14400E-01 -3.32780E-02
1.48348E-01 9.14400E-01 -3.31380E-02
1.46470E-01 9.14400E-01 -3.29980E-02
1.44591E-01 9.14400E-01 -3.28520E-02
1.42713E-01 9.14400E-01 -3.27061E-02
1.40836E-01 9.14400E-01 -3.25543E-02
1.38958E-01 9.14400E-01 -3.24025E-02
1.37081E-01 9.14400E-01 -3.22447E-02
1.35203E-01 9.14400E-01 -3.20869E-02
1.33327E-01 9.14400E-01 -3.19226E-02
1.31450E-01 9.14400E-01 -3.17583E-02
1.29574E-01 9.14400E-01 -3.15875E-02
1.27697E-01 9.14400E-01 -3.14168E-02
1.25822E-01 9.14400E-01 -3.12394E-02
1.23946E-01 9.14400E-01 -3.10620E-02
1.22134E-01 9.14400E-01 -3.08840E-02
1.20323E-01 9.14400E-01 -3.07060E-02
1.18598E-01 9.14400E-01 -3.05303E-02
1.16873E-01 9.14400E-01 -3.03546E-02
1.15230E-01 9.14400E-01 -3.01820E-02
1.13588E-01 9.14400E-01 -3.00094E-02
1.12024E-01 9.14400E-01 -2.98402E-02
1.10461E-01 9.14400E-01 -2.96709E-02
1.08972E-01 9.14400E-01 -2.95044E-02
1.07483E-01 9.14400E-01 -2.93378E-02
1.06066E-01 9.14400E-01 -2.91742E-02
1.04649E-01 9.14400E-01 -2.90106E-02
1.03299E-01 9.14400E-01 -2.88505E-02
1.01950E-01 9.14400E-01 -2.86904E-02
1.00665E-01 9.14400E-01 -2.85346E-02
9.93802E-02 9.14400E-01 -2.83788E-02
9.81568E-02 9.14400E-01 -2.82273E-02
9.69334E-02 9.14400E-01 -2.80759E-02
9.57686E-02 9.14400E-01 -2.79282E-02
9.46038E-02 9.14400E-01 -2.77805E-02
9.34948E-02 9.14400E-01 -2.76363E-02
9.23858E-02 9.14400E-01 -2.74922E-02
9.13301E-02 9.14400E-01 -2.73510E-02
9.02744E-02 9.14400E-01 -2.72099E-02
8.92692E-02 9.14400E-01 -2.70726E-02
8.82641E-02 9.14400E-01 -2.69353E-02
8.73067E-02 9.14400E-01 -2.68044E-02
8.63493E-02 9.14400E-01 -2.66734E-02
8.53926E-02 9.14400E-01 -2.65406E-02
8.44359E-02 9.14400E-01 -2.64078E-02
8.34795E-02 9.14400E-01 -2.62724E-02
8.25231E-02 9.14400E-01 -2.61370E-02
8.15669E-02 9.14400E-01 -2.59989E-02
8.06108E-02 9.14400E-01 -2.58608E-02
7.96549E-02 9.14400E-01 -2.57200E-02
7.86991E-02 9.14400E-01 -2.55791E-02
7.77435E-02 9.14400E-01 -2.54353E-02
7.67879E-02 9.14400E-01 -2.52916E-02
7.58326E-02 9.14400E-01 -2.51448E-02
7.48774E-02 9.14400E-01 -2.49981E-02
7.39224E-02 9.14400E-01 -2.48482E-02
7.29675E-02 9.14400E-01 -2.46984E-02
7.20128E-02 9.14400E-01 -2.45458E-02
7.10581E-02 9.14400E-01 -2.43932E-02
7.01035E-02 9.14400E-01 -2.42390E-02
6.91488E-02 9.14400E-01 -2.40848E-02
6.81941E-02 9.14400E-01 -2.39293E-02
6.72394E-02 9.14400E-01 -2.37738E-02
6.62848E-02 9.14400E-01 -2.36159E-02
6.53302E-02 9.14400E-01 -2.34580E-02
6.43758E-02 9.14400E-01 -2.32970E-02
6.34214E-02 9.14400E-01 -2.31360E-02
6.24673E-02 9.14400E-01 -2.29716E-02
6.15133E-02 9.14400E-01 -2.28071E-02
6.05595E-02 9.14400E-01 -2.26392E-02
5.96057E-02 9.14400E-01 -2.24713E-02
5.86522E-02 9.14400E-01 -2.22998E-02
5.76986E-02 9.14400E-01 -2.21284E-02
5.67453E-02 9.14400E-01 -2.19534E-02
5.57920E-02 9.14400E-01 -2.17785E-02
5.48387E-02 9.14400E-01 -2.16010E-02
5.38853E-02 9.14400E-01 -2.14236E-02
5.29315E-02 9.14400E-01 -2.12452E-02
5.19776E-02 9.14400E-01 -2.10669E-02
5.10234E-02 9.14400E-01 -2.08871E-02
5.00691E-02 9.14400E-01 -2.07073E-02
4.91147E-02 9.14400E-01 -2.05244E-02
4.81603E-02 9.14400E-01 -2.03416E-02
4.72057E-02 9.14400E-01 -2.01551E-02
4.62512E-02 9.14400E-01 -1.99687E-02
4.52965E-02 9.14400E-01 -1.97784E-02
4.43418E-02 9.14400E-01 -1.95882E-02
4.33869E-02 9.14400E-01 -1.93938E-02
4.24320E-02 9.14400E-01 -1.91994E-02
4.14770E-02 9.14400E-01 -1.90005E-02
4.05220E-02 9.14400E-01 -1.88016E-02
3.95667E-02 9.14400E-01 -1.85981E-02
3.86114E-02 9.14400E-01 -1.83947E-02
3.76552E-02 9.14400E-01 -1.81877E-02
3.66991E-02 9.14400E-01 -1.79807E-02
3.57410E-02 9.14400E-01 -1.77729E-02
3.47829E-02 9.14400E-01 -1.75651E-02
3.38222E-02 9.14400E-01 -1.73574E-02
3.28616E-02 9.14400E-01 -1.71497E-02
3.18987E-02 9.14400E-01 -1.69398E-02
3.09358E-02 9.14400E-01 -1.67298E-02
2.99706E-02 9.14400E-01 -1.65163E-02
2.90054E-02 9.14400E-01 -1.63027E-02
2.80373E-02 9.14400E-01 -1.60852E-02
2.70691E-02 9.14400E-01 -1.58676E-02
2.60977E-02 9.14400E-01 -1.56451E-02
2.51263E-02 9.14400E-01 -1.54226E-02
2.41514E-02 9.14400E-01 -1.51944E-02
2.31764E-02 9.14400E-01 -1.49663E-02
2.21965E-02 9.14400E-01 -1.47327E-02
2.12166E-02 9.14400E-01 -1.44991E-02
2.02279E-02 9.14400E-01 -1.42644E-02
1.92393E-02 9.14400E-01 -1.40297E-02
1.82362E-02 9.14400E-01 -1.38027E-02
1.72332E-02 9.14400E-01 -1.35757E-02
1.62131E-02 9.14400E-01 -1.33549E-02
1.51931E-02 9.14400E-01 -1.31342E-02
1.41554E-02 9.14400E-01 -1.29095E-02
1.31178E-02 9.14400E-01 -1.26848E-02
1.20600E-02 9.14400E-01 -1.24502E-02
1.10022E-02 9.14400E-01 -1.22155E-02
9.91997E-03 9.14400E-01 -1.19676E-02
8.83779E-03 9.14400E-01 -1.17197E-02
7.72115E-03 9.14400E-01 -1.14549E-02
6.60453E-03 9.14400E-01 -1.11901E-02
